spectrum,ell_min,ell_max,RMS_best_vs_LCDM,max_abs
TT,2,30,0.009314965942381641,0.02489568141307901
TT,30,600,0.0009948683370216175,0.0020042954128285688
TT,600,2500,0.001078032124144799,0.0016001422682633858
EE,2,30,0.004230505885327066,0.007118642951327128
EE,30,600,0.0012571763166776932,0.003393966578587705
EE,600,2500,0.0009870995169922263,0.0015446850061061898
TE,2,30,0.003938839364074307,0.015753770755724504
TE,30,600,0.0005600756738437845,0.0014043900482752776
TE,600,2500,0.00031102655184889156,0.0006358428535054864
